ID,ResolveAmount,ExpendZeny
16356205,2034008=70=70,101=50000
16356207,2034010=91=91,101=50000
16356208,2034011=126=126,101=50000
16356209,2034012=189=189,101=50000
16356210,2034013=280=280,101=50000
16356307,2034010=91=91,101=50000
16356308,2034011=126=126,101=50000
16356309,2034012=189=189,101=50000
16356310,2034013=280=280,101=50000
15356408,2034011=126=126,101=50000
15356409,2034012=189=189,101=50000
15356410,2034013=280=280,101=50000
15356505,2034008=70=70,101=50000
15356507,2034010=91=91,101=50000
15356508,2034011=126=126,101=50000
15356509,2034012=189=189,101=50000
15356510,2034013=280=280,101=50000
15356607,2034010=91=91,101=50000
15356608,2034011=126=126,101=50000
15356609,2034012=189=189,101=50000
15356610,2034013=280=280,101=50000
15356705,2034008=70=70,101=50000
15356707,2034010=91=91,101=50000
15356708,2034011=126=126,101=50000
15356709,2034012=189=189,101=50000
15356710,2034013=280=280,101=50000
15356807,2034010=91=91,101=50000
15356808,2034011=126=126,101=50000
15356809,2034012=189=189,101=50000
15356810,2034013=280=280,101=50000
12238810,2034005=140=140,101=50000
12238910,2034005=140=140,101=50000
13239010,2034005=140=140,101=50000
13239110,2034005=140=140,101=50000
4239210,2034005=140=140,101=50000
4239310,2034005=140=140,101=50000
4239410,2034005=140=140,101=50000
9239510,2034005=140=140,101=50000
2239610,2034005=140=140,101=50000
1239710,2034005=140=140,101=50000
6239810,2034005=140=140,101=50000
6239910,2034005=140=140,101=50000
5240010,2034005=140=140,101=50000
5240110,2034005=140=140,101=50000
7234810,2034005=140=140,101=50000
7234910,2034005=140=140,101=50000
7235010,2034005=140=140,101=50000
8235110,2034005=140=140,101=50000
8235210,2034005=140=140,101=50000
8235310,2034005=140=140,101=50000
11235410,2034005=140=140,101=50000
11235510,2034005=140=140,101=50000
11235610,2034005=140=140,101=50000
3235710,2034005=140=140,101=50000
3235810,2034005=140=140,101=50000
3235910,2034005=140=140,101=50000
14251310,2034005=140=140,101=50000
15256904,2034005=6=7,101=15000
15256905,2034005=18=20,101=50000
15256906,2034005=30=32,101=50000
15256907,2034005=50=52,101=50000
15256908,2034005=120=122,101=50000
15256909,2034005=130=130,101=50000
15256910,2034005=140=140,101=50000
15257004,2034005=6=7,101=15000
15257005,2034005=18=20,101=50000
15257006,2034005=30=32,101=50000
15257007,2034005=50=52,101=50000
15257008,2034005=120=122,101=50000
15257009,2034005=130=130,101=50000
15257010,2034005=140=140,101=50000
16257104,2034005=6=7,101=15000
16257105,2034005=18=20,101=50000
16257106,2034005=30=32,101=50000
16257107,2034005=50=52,101=50000
16257108,2034005=120=122,101=50000
16257109,2034005=130=130,101=50000
16257110,2034005=140=140,101=50000
16257204,2034005=6=7,101=15000
16257205,2034005=18=20,101=50000
16257206,2034005=30=32,101=50000
16257207,2034005=50=52,101=50000
16257208,2034005=120=122,101=50000
16257209,2034005=130=130,101=50000
16257210,2034005=140=140,101=50000
10344710,2034006=88=92,101=50000
10354710,2034006=108=112,101=50000
10344801,2034006=88=92,101=50000
10344802,2034006=108=112,101=50000
10344810,2034006=88=92,101=50000
10354810,2034006=108=112,101=50000
10334910,2034006=68=72,101=50000
10344910,2034006=88=92,101=50000
10354910,2034006=108=112,101=50000
10335010,2034006=68=72,101=50000
10345010,2034006=88=92,101=50000
10355010,2034006=108=112,101=50000
10345101,2034006=88=92,101=50000
10345102,2034006=108=112,101=50000
10345110,2034006=88=92,101=50000
10355110,2034006=108=112,101=50000
10345201,2034006=88=92,101=50000
10355202,2034006=108=112,101=50000
10345210,2034006=88=92,101=50000
10355210,2034006=108=112,101=50000
10335310,2034006=68=72,101=50000
10345310,2034006=88=92,101=50000
10355310,2034006=108=112,101=50000
10345410,2034006=88=92,101=50000
10355410,2034006=108=112,101=50000
10345510,2034006=88=92,101=50000
10355510,2034006=108=112,101=50000
10345610,2034006=88=92,101=50000
10355610,2034006=108=112,101=50000
10345710,2034006=88=92,101=50000
10355710,2034006=108=112,101=50000
10335810,2034006=68=72,101=50000
10345810,2034006=88=92,101=50000
10355810,2034006=108=112,101=50000
