ID,NpcId,SceneId1,Pos1,SceneId2,Pos2,SceneId3,Pos3,SceneId4,Pos4,SceneId5,Pos5,TaskAccept,TaskFinish,TaskTarget1,TaskTarget2,TaskTarget3,TaskTarget4,TaskTarget5
851,6340,31,"51.63785,9.69,57.44899",,,,,,,,,,,,,,,
852,6341,31,"54.85696,9.69,58.597",,,,,,,,,,,,,,,
853,6342,31,"58.04039,9.65,59.18902",,,,,,,,,,,,,,,
854,6345,31,"105.33,8.21,94.49",,,,,,,,,,,,,,,
855,6344,31,"104.189,8.13,87.37766",,,,,,,,,,,,,,,
856,6346,31,"108.392,8.4,94.25305",,,,,,,,,,,,,,,
857,6347,31,"79.54218,8.9,73.65631",,,,,,,,,,,,,,,
858,6348,31,"79.35,8.88,73.41",,,,,,,,,,,,,,,
859,6311,31,"88.08614,8.19,82.65795",,,,,,,,,,,,,,,
860,6320,31,"80.89962,9.33,64.64629",,,,,,,,,,,,,,,
861,6314,31,"69.85693,8.96,71.73827",,,,,,,,,,,,,,,
862,6328,31,"73.64253,8.66,85.07085",,,,,,,,,,,,,,,
863,6327,31,"51.44781,9.75,63.15341",,,,,,,,,,,,,,,
864,6076,32,"89.53943,30.23,48.44",,,,,,,,,,,,,,,
865,6220,32,"97.80728,31.01,50.33001",,,,,,,,,,,,,,,
866,6221,32,"96.24601,31.02,51.83029",,,,,,,,,,,,,,,
867,6222,32,"94.71358,31.93,50.17071",,,,,,,,,,,,,,,
868,6225,32,"109.7603,30.11,36.04577",,,,,,,,,,,,,,,
869,6226,32,"96.29756,31.1,48.47113",,,,,,,,,,,,,,,
870,6350,32,"59.39,32.09,62.39",,,,,,,,,,,,,,,
871,6351,32,"42.24001,30.23,50.86617",,,,,,,,,,,,,,,
872,6352,32,"60.19,30.23,51.54",,,,,,,,,,,,,,,
873,6353,32,"99.37653,30.15,30.54302",,,,,,,,,,,,,,,
874,6354,32,"98.95,30.15,30.49",,,,,,,,,,,,,,,
875,6355,32,"106.182,30.2,44.57353",,,,,,,,,,,,,,,
876,6356,32,"66.64135,32.09,59.45743",,,,,,,,,,,,,,,
877,6357,32,"55.45304,30.23,39.13191",,,,,,,,,,,,,,,
878,6360,32,"43.06038,30.23,37.6974",,,,,,,,,,,,,,,
879,6359,32,"45.56003,30.23,34.438",,,,,,,,,,,,,,,
880,6362,32,"42.78886,32.09,78.78288",,,,,,,,,,,,,,,
881,6363,32,"57.50941,32.09,78.53516",,,,,,,,,,,,,,,
882,6364,32,"40.74,32.09,61.95",,,,,,,,,,,,,,,
883,6368,32,"60.44159,32.09,57.72462",,,,,,,,,,,,,,,
884,6369,32,"59.85421,32.09,57.38105",,,,,,,,,,,,,,,
885,6367,32,"40.14481,32.09,55.07948",,,,,,,,,,,,,,,
886,6370,32,"83.01,30.15,37.76",,,,,,,,,,,,,,,
887,6371,32,"105.8512,30.2,30.83467",,,,,,,,,,,,,,,
888,6374,32,"33.61966,32.09,64.91611",,,,,,,,,,,,,,,
889,6366,32,"57.1166,30.23,50.21945",,,,,,,,,,,,,,,
890,10400,32,"98.00494,30.8,37.09797",,,,,,,,,1000060,1000040,,,,,
891,6373,32,"97.81486,30.83,36.24632",,,,,,,,,,,,,,,
892,6372,32,"86.72416,30.82,45.72466",,,,,,,,,,,,,,,
893,6365,32,"31.83487,32.61,64.8082",,,,,,,,,,,,,,,
894,6361,32,"44.77641,30.23,34.65429",,,,,,,,,,,,,,,
895,6376,32,"94.23894,30.97,30.53332",,,,,,,,,,,,,,,
896,6375,32,"109.7949,31.22,39.65319",,,,,,,,,,,,,,,
897,6061,33,"117.2,10.64,129.98",,,,,,,,,,,,,,,
898,6062,33,"98.39111,12.52,54.63982",,,,,,,,,,,,,,,
899,6063,33,"85.00603,10.65,89.03",,,,,,,,,,,,,,,
900,6064,33,"52.5378,10.62,82.46039",,,,,,,,,,,,,,,
901,6065,33,"98.62548,10.65,154.2416",,,,,,,,,,,,,,,
902,6066,33,"117.72,10.65,130.544",,,,,,,,,,,,,,,
903,6067,33,"0,0,1",,,,,,,,,,,,,,,
904,6068,33,"110.8461,10.65,141.3353",,,,,,,,,,,,,,,
905,6069,33,"53.51919,10.65,78.82904",,,,,,,,,,,,,,,
906,10401,33,"93.01504,12.66,44.07224",,,,,,,,,1000070|1000080|1000090,1000070|1000080,,,,,
907,10422,33,"151.686,10.58,148.1",,,,,,,,,,,,,,,
908,10439,33,"163.13,11.64,165.17",,,,,,,,,,,,,,,
909,10440,33,"175.33,11.64,153.3",,,,,,,,,,,,,,,
910,10441,33,"164.63,11.64,162.36",,,,,,,,,,,,,,,
911,10442,33,"166.46,11.6,153.93",,,,,,,,,,,,,,,
912,10443,33,"163.92,11.64,159.69",,,,,,,,,,,,,,,
913,10444,33,"172.15,11.64,154.94",,,,,,,,,,,,,,,
914,10437,33,"163.84,11.64,156.45",,,,,,,,,,,,,,,
915,10438,33,"169.27,11.64,154.09",,,,,,,,,,,,,,,
916,10445,33,"170.4129,11.94,159.6229",,,,,,,,,,,,,,,
917,6400,33,"152.85,10.64,149.36",,,,,,,,,1000150,,,,,,
918,6401,33,"92.13454,12.54,38.41127",,,,,,,,,,,,,,,
919,6402,33,"89.20907,12.54,36.60191",,,,,,,,,,,,,,,
920,6405,33,"89.69769,10.6,77.70119",,,,,,,,,,,,,,,
921,6406,33,"90.95477,10.6,79.3306",,,,,,,,,,,,,,,
922,6407,33,"89.47656,10.58,78.67355",,,,,,,,,,,,,,,
923,6408,33,"90.13506,10.58,79.24901",,,,,,,,,,,,,,,
924,6409,33,"56.61245,10.98,95.68929",,,,,,,,,,,,,,,
925,6410,33,"55.49205,11.08,96.2494",,,,,,,,,,,,,,,
926,6411,33,"51.65205,10.6,82.73694",,,,,,,,,,,,,,,
927,6412,33,"52.76195,10.57,81.71239",,,,,,,,,,,,,,,
928,6414,33,"85.25906,10.65,89.21323",,,,,,,,,,,,,,,
929,6413,33,"98.08556,12.54,55.71154",,,,,,,,,,,,,,,
930,6415,33,"94.76327,10.65,86.3039",,,,,,,,,,,,,,,
931,6416,33,"84.67894,10.65,88.97562",,,,,,,,,,,,,,,
932,6417,33,"117.2517,10.64,130.4308",,,,,,,,,,,,,,,
933,6418,33,"97.9768,10.64,154.2449",,,,,,,,,,,,,,,
934,6404,33,"89.94881,10.65,78.63454",,,,,,,,,,,,,,,
935,6419,33,"91.75934,12.54,38.41606",,,,,,,,,,,,,,,
936,6420,33,"89.19962,12.55,36.67191",,,,,,,,,,,,,,,
937,6421,33,"85.39418,12.54,34.51777",,,,,,,,,,,,,,,
938,6403,33,"85.91794,12.54,34.2711",,,,,,,,,,,,,,,
939,6422,33,"169.62,11.21,151.55",,,,,,,,,,,,,,,
940,6423,33,"168.47,11.04,151.88",,,,,,,,,,,,,,,
941,6424,33,"158.14,10.64,130.65",,,,,,,,,,,,,,,
942,6425,33,"112.0611,10.64,149.9383",,,,,,,,,,,,,,,
943,6426,33,"144.5788,10.64,141.7328",,,,,,,,,,,,,,,
944,6427,33,"113.65,10.64,149.97",,,,,,,,,,,,,,,
945,4860,34,"65.84635,6.35,176.9952",,,,,,,,,,,,,,,
946,9995,35,"139.0113,3.65,170.7412",,,,,,,,,,,,,,,
947,5160,35,"75.05,3.65,138.62",,,,,,,,,,,,,,,
948,40631,35,"90.86,3.6,144.3",,,,,,,,,,,,,,,
949,40632,35,"206.07,3.6,149.64",,,,,,,,,,,,,,,
950,13470,35,"71.1,4.31,146.25",,,,,,,,,,,,,,,
951,2733,35,"0,0,1",,,,,,,,,,,,,,,
952,2734,35,"202.1098,3.6,77.88057",,,,,,,,,,,,,,,
953,2735,35,"78.41388,3.6,136.7478",,,,,,,,,,,,,,,
954,5880,36,"70.67365,23.2,52.4048",,,,,,,,,,,,,,,
955,40751,36,"107.78,25.32,120.02",,,,,,,,,,,,,,,
956,40811,37,"151.8,43.7,157.5",,,,,,,,,,,,,,,
957,5910,37,"55.96,40.25,165.27",,,,,,,,,,,,,,,
958,13650,37,"144.8028,40.17,188.7038",,,,,,,,,19005310,19005310,,,,,
959,5280,38,"126.71,13.29,167.184",,,,,,,,,,,,,,,
960,40601,38,"146.693,21.4,49.99998",,,,,,,,,,,,,,,
961,40602,38,"77.98,13.27,155.84",,,,,,,,,,,,,,,
962,5340,39,"45.79817,12.11861,48.51",,,,,,,,,1002500|1002510|1002540|1002550|1002560|3011010|3011020,1000194|1002500|1002540|1002550|1002560|3011020,,,,,
963,5341,39,"37.435,12.115,37.24",,,,,,,,,1002570|3004010,1002570,,,,,
964,5342,39,"43.212,12.11861,37.34449",,,,,,,,,1002580|1002590|3004061|3006014,1002580|19006100|19006120|3006014,,,,,
965,3960,40,"35.78257,2.940881,41.96085",,,,,,,,,1001060|3008000|3008005|3000000,1000190|1001060|3008005|3000080,,,,,
966,6813,41,"68,12.34,98.8",,,,,,,,,3008030,3008030|3008041|3008042,,,,,
967,3540,41,"113.52,12.12,64.39",,,,,,,,,1001500|1001560|1001570|1001580|1001600,1000192|1001560|1001570|1001580,,,,,
968,3541,41,"62.57009,12.34,95.42668",,,,,,,,,,,,,,,
969,3542,41,"110.3728,12.12,67.03037",,,,,,,,,1001590|2000920|19009220|20000510|20100000|20001300,1001590|20001300,,,,,
970,3544,41,"100.78,12.12,60.77",,,,,,,,,3002010|3002080,,,,,,
971,3545,41,"71.61,13.08,100.32",,,,,,,,,1004491|6004210|19010610|3002000|3002005|3006012,1004491|12009070|19010630|3002000|3002005|3002010|3002030|3002070|3002080|3006012,,,,,
972,3546,41,"107.24,12.12,61.3",,,,,,,,,,,,,,,
973,3547,41,"117.01,12.84,64.36",,,,,,,,,1004500|1004520|3002081,1004510,,,,,
974,3548,41,"63.07,12.34,95.28",,,,,,,,,,,,,,,
975,3549,41,"106.6554,12.12,66.95222",,,,,,,,,,,,,,,
976,3511,41,"65.37812,12.39,98.15878",,,,,,,,,1004230|1004240|1004270|1004280|1004410|1004810|1005210|2000910|2000010|2000110|2000120|2000210,1004060|1004230|1004260|1004270|1004280|1004490|1004520|1004690|1005100|1005330|2000940|2000050|2000130|2000720,,,,,
977,3510,41,"65.52431,12.34,99.01907",,,,,,,,,,,,,,,
978,20314,4100,"278.7471,43.28,155.4971",4101,"278.7471,43.28,155.4971",4102,"278.7471,43.28,155.4971",,,,,,,,,,,
979,20313,4100,"284.3,43.25,169.28",4101,"284,43.25,168",4102,"284,43.25,168",,,,,,,,,,,
980,20315,4100,"265.41,43.34,137.73",4101,"265.41,43.34,137.73",4102,"265.41,43.34,137.73",,,,,,,,,,,
981,20316,4100,"283.24,43.28,141.81",4101,"283.24,43.28,141.81",4102,"283.24,43.28,141.81",,,,,,,,,,,
982,20317,4100,"266.35,43.33,151.304",4101,"266.35,43.33,151.304",4102,"266.35,43.33,151.304",,,,,,,,,,,
983,20318,4101,"297.148,43.28,66.56031",4102,"297.148,43.28,66.56031",,,,,,,,,,,,,
984,20319,4101,"283.998,43.25,164.9503",4102,"283.998,43.25,164.9503",,,,,,,,,,,,,
985,20320,4101,"283.842,43.25,165.0297",4102,"283.842,43.25,165.0297",,,,,,,,,,,,,
986,4320,42,"30.82,12.1,35.28",,,,,,,,,3035010|3035020|3006011,1000191|1002060|3035020|3001040|3006011,,,,,
987,4321,42,"42.58232,12.1,39.83016",,,,,,,,,,,,,,,
988,4325,42,"48.74764,12.1,29.60791",,,,,,,,,,,,,,,
989,4324,42,"48.57755,12.1,29.63341",,,,,,,,,1002010|1002011|1002020|1002090|1002100|1002110,1002010|1002090|1002100,,,,,
990,4322,42,"31.3514,12.23,32.49796",,,,,,,,,1002000|1002070|2001210,1002000|1002070|1002080,,,,,
991,4323,42,"31.42356,12.1,37.30268",,,,,,,,,3001030|3001041,3001031|3001032|3001033,,,,,
992,4326,42,"48.04426,12.12,38.57355",,,,,,,,,3001010|3001020|3001040,3001010|3001021|3001022|3001023,,,,,
993,5700,43,"47.12,12.123,36.90659",,,,,,,,,1003010|1003030|1003060|1003070|3010000|3003000|3003005|3010010|3010020|3003010|3003081,1003050|1003060|1003070|3003005|3010020,,,,,
994,5730,43,"39.26344,12.096,42.2243",,,,,,,,,1003080|6001400|3003080|3006013,1003080|6001400|3003070|3003080|3006013,,,,,
995,5731,43,"43.9,12.188,30.89046",,,,,,,,,1003090|1003100,1003090,,,,,
996,5972,44,"46.46159,5.12,43.95117",,,,,,,,,3005020|3005060|3006015,6002610|3005010|3005020|3005060|3006015,,,,,
997,5971,44,"42.22279,4.04,30.39",,,,,,,,,1003560|1003565|1003570|3005061,1003570,,,,,
998,3014,44,"53.03111,4.04,36.61277",50,"162.8984,19.4,85.77705",,,,,,,,,,,,,
999,3015,44,"53.92,4.04,30.07",50,"173.2235,17.24,139.1094",,,,,,,,,,,,,
1000,3012,44,"42.24872,4.04,41.77488",,,,,,,,,,,,,,,
1001,3013,44,"44.32034,4.04,40.84005",,,,,,,,,,,,,,,
1002,5970,44,"53.32632,5.18,44.37292",,,,,,,,,1003500|1003520|1003540|1003550|1003580|3012010|3012020|3005010,1000195|1003500|1003520|1003540|1003550|3012020,,,,,
1003,5977,44,"34.17381,4.05,38.50013",,,,,,,,,3005030|3005070,3005070,,,,,
1004,5850,45,"80.12,32.73,122.41",,,,,,,,,,,,,,,
1005,40721,45,"119.03,32.67,36.7",,,,,,,,,,,,,,,
1006,2736,45,"85.44754,32.68,122.0286",,,,,,,,,,,,,,,
1007,2737,45,"84.01492,32.68,123.1238",,,,,,,,,,,,,,,
1008,2740,45,"85.73602,32.68,119.8856",,,,,,,,,,,,,,,
1009,2741,45,"86.78432,32.68,119.9526",,,,,,,,,,,,,,,
1010,2738,45,"147.7238,29.67,56.65682",,,,,,,,,,,,,,,
1011,2739,45,"146.8261,29.67,59.28043",,,,,,,,,,,,,,,
1012,10575,47,"175.4218,15.95,75.91354",,,,,,,,,,,,,,,
1013,10571,47,"194.8007,15.95,128.8336",,,,,,,,,12001430|12001440|12001450|19011720|22002080,12001461|12001462|19011720|22002070|22002210,,,,,
1014,10576,47,"162.5248,23.84,193.8065",,,,,,,,,,,,,,,
1015,2501,47,"155.5418,16.16,102.1649",,,,,,,,,,,,,,,
1016,2502,47,"156.206,15.95,102.0783",,,,,,,,,19006600,19006620,,,,,
1017,2500,47,"153.87,16.01,96.41",,,,,,,,,,,,,,,
1018,2505,47,"162.24,16.01,103.06",,,,,,,,,,,,,,,
1019,12016,47,"161.45,16.01,96.95",,,,,,,,,6002090,,,,,,
1020,2508,47,"161.92,16.01,167.7",,,,,,,,,,,,,,,
1021,2509,47,"128.87,15.97,143.056",,,,,,,,,,,,,,,
1022,2510,47,"133.78,16.01,62.85",,,,,,,,,,,,,,,
1023,2511,47,"115.7351,20.28,95.65199",,,,,,,,,,,,,,,
1024,2512,47,"106.1363,16.01,74.17233",,,,,,,,,19001210,19001210,,,,,
1025,2513,47,"100.0863,16.01,84.06916",,,,,,,,,,,,,,,
1026,2515,47,"195.7612,16.01,66.26061",,,,,,,,,,,,,,,
1027,2516,47,"211.5576,16.01,90.9959",,,,,,,,,,,,,,,
1028,2517,47,"186.3817,16.01,91.83391",,,,,,,,,,,,,,,
1029,2518,47,"194.084,16.01,182.3322",,,,,,,,,,,,,,,
1030,2519,47,"191.9746,16.01,196.3047",,,,,,,,,,,,,,,
1031,2520,47,"67.2,16.06,168.99",,,,,,,,,,,,,,,
1032,2521,47,"107.482,20.37,129.2026",,,,,,,,,,,,,,,
1033,2522,47,"183.6083,16.53,115.3181",,,,,,,,,19010140,,,,,,
1034,2523,47,"115.1097,20.37,110.6488",,,,,,,,,,,,,,,
1035,2524,47,"96.34727,20.37,193.1077",,,,,,,,,,,,,,,
1036,2526,47,"172.1094,16.01,156.8772",,,,,,,,,,,,,,,
1037,2527,47,"184.474,16.01,147.0709",,,,,,,,,,,,,,,
1038,2528,47,"184.4373,16.01,144.7537",,,,,,,,,,,,,,,
1039,2529,47,"202.4326,15.89,162.3958",,,,,,,,,,,,,,,
1040,2530,47,"187.6077,15.93,191.6636",,,,,,,,,,,,,,,
1041,2531,47,"102.8982,20.37,106.5668",,,,,,,,,,,,,,,
1042,2532,47,"149.18,15.99,136.5531",,,,,,,,,,,,,,,
1043,2533,47,"139.8884,16.01,136.6043",,,,,,,,,,,,,,,
1044,2534,47,"145.8151,16.01,77.24031",,,,,,,,,,,,,,,
1045,2535,47,"151.9894,16.01,76.99316",,,,,,,,,,,,,,,
1046,2536,47,"109.3164,20.37,202.4203",,,,,,,,,,,,,,,
1047,2537,47,"125.6042,20.37,202.3601",,,,,,,,,,,,,,,
1048,2538,47,"91.36375,16.01,124.179",,,,,,,,,,,,,,,
1049,2539,47,"91.07,16.01,119.95",,,,,,,,,,,,,,,
1050,2540,47,"111.4603,20.37,117.6204",,,,,,,,,,,,,,,
1051,2541,47,"104.5219,20.37,117.7",,,,,,,,,,,,,,,
1052,2542,47,"180.3326,16.01,77.46806",,,,,,,,,,,,,,,
1053,2543,47,"187.0846,16.01,81.10464",,,,,,,,,,,,,,,
1054,2544,47,"111.1199,16.01,174.8439",,,,,,,,,,,,,,,
1055,2545,47,"124.17,16.01,174.6772",,,,,,,,,,,,,,,
1056,2546,47,"133.8149,16.01,146.1536",,,,,,,,,,,,,,,
1057,2547,47,"155.6577,16.01,146.1004",,,,,,,,,,,,,,,
1058,2548,47,"178.4114,16.01,106.8713",,,,,,,,,19001010,,,,,,
1059,2549,47,"114.9872,20.27,116.864",,,,,,,,,,,,,,,
1060,2550,47,"185.1171,16.01,159.1971",,,,,,,,,,,,,,,
1061,2553,47,"167.6109,15.96,102.8247",,,,,,,,,12002050|6005010|12001420|19011810|22002030|22002210,6005010|6005020|12001420|19005210|19007210|19007230|19009020,,,,,
1062,2554,47,"101.6171,20.37,147.0003",,,,,,,,,,,,,,,
1063,2557,47,"85.45061,16.01,123.915",,,,,,,,,,,,,,,
1064,2558,47,"130.475,16.01,71.35898",,,,,,,,,,,,,,,
1065,2559,47,"132.84,16.01,74.08",,,,,,,,,,,,,,,
1066,2560,47,"131.6071,16.01,71.53301",,,,,,,,,,,,,,,
1067,2561,47,"107.83,16.01,68.88",,,,,,,,,,,,,,,
1068,2562,47,"161.97,16.01,68.94",,,,,,,,,,,,,,,
1069,2563,47,"163.03,16.01,71.48",,,,,,,,,,,,,,,
1070,2564,47,"168.7881,16.01,79.22253",,,,,,,,,,,,,,,
1071,2566,47,"182.43,16.01,72.62",,,,,,,,,,,,,,,
1072,2565,47,"0,0,1",,,,,,,,,,,,,,,
1073,2570,47,"188.8571,16.01,95.84943",,,,,,,,,,19005200,,,,,
1074,2571,47,"190.1955,16.01,95.51604",,,,,,,,,19005210,,,,,,
1075,2572,47,"184.8293,16.01,106.4399",,,,,,,,,,,,,,,
1076,2573,47,"179.76,16.01,111.74",,,,,,,,,,,,,,,
1077,2567,47,"173.1762,16.01,88.189",,,,,,,,,,19008230,,,,,
1078,2568,47,"142.5828,18.86,94.74619",,,,,,,,,12007810,,,,,,
1079,2569,47,"223.0834,16.01,55.53213",,,,,,,,,,,,,,,
1080,2574,47,"190.4261,16.01,124.4737",,,,,,,,,,,,,,,
1081,40661,47,"156.75,16.01,99.86",,,,,,,,,,,,,,,
1082,2575,47,"182.3951,16.01,94.05593",,,,,,,,,,,,,,,
1083,2576,47,"183.1373,16.01,94.05941",,,,,,,,,,,,,,,
1084,2577,47,"181.5538,16.01,97.72663",,,,,,,,,,,,,,,
1085,2578,47,"208.538,16.01,156.9247",,,,,,,,,,,,,,,
1086,2579,47,"115.4148,20.37,95.99651",,,,,,,,,,,,,,,
1087,2581,47,"135.46,16.01,95.52",,,,,,,,,,,,,,,
1088,2582,47,"147.8405,16.11,144.9213",,,,,,,,,,,,,,,
1089,2583,47,"184.6053,16.01,93.22839",,,,,,,,,,,,,,,
1090,2584,47,"137.7615,16.01,110.8499",,,,,,,,,,,,,,,
1091,2585,47,"194.1778,16.01,136.9492",,,,,,,,,,,,,,,
1092,2586,47,"167.9375,16.01,88.49073",,,,,,,,,,,,,,,
1093,2587,47,"128.5333,16.01,154.4194",,,,,,,,,,,,,,,
1094,2588,47,"184.5192,16.01,206.5364",,,,,,,,,,,,,,,
1095,2589,47,"186.9428,16.01,208.0761",,,,,,,,,,,,,,,
1096,2590,47,"179.38,16.01,163.37",,,,,,,,,,,,,,,
1097,2591,47,"179.1551,16.01,166.9506",,,,,,,,,,,,,,,
1098,2592,47,"193.5354,16.01,147.0209",,,,,,,,,17000019,17000019,,,,,
1099,2593,47,"160.68,16.01,91.67",,,,,,,,,17000001,17000001,,,,,
1100,2594,47,"141.7509,15.96,96.20741",,,,,,,,,,,,,,,
1101,2596,47,"140,15.96,113.55",,,,,,,,,,,,,,,
1102,2597,47,"140.6976,16.01,105.9696",,,,,,,,,,,,,,,
1103,2600,47,"109.464,20.37,100.78",,,,,,,,,,,,,,,
1104,2035,47,"146.9703,16.01,114.3208",,,,,,,,,,,,,,,
1105,2040,47,"158.6395,16.01,162.861",,,,,,,,,,,,,,,
1106,2050,47,"162.6213,16.01,133.8898",,,,,,,,,,,,,,,
1107,2055,47,"163.5688,16.01,75.36022",,,,,,,,,,,,,,,
1108,2045,47,"158.6198,16.01,152.4228",,,,,,,,,,,,,,,
1109,1261,47,"183.7497,16.01,183.8629",,,,,,,,,,,,,,,
1110,2062,47,"137.1497,16.01,91.13628",,,,,,,,,,,,,,,
1111,2599,47,"112.4672,20.37,109.156",,,,,,,,,,,,,,,
1112,2598,47,"152.5408,16.01,109.8705",,,,,,,,,,,,,,,
1113,50309,47,"175.3267,16.01,102.9422",,,,,,,,,,,,,,,
1114,50310,47,"182.6326,16.01,103.6775",,,,,,,,,,,,,,,
1115,2601,47,"208.3611,15.96,156.731",,,,,,,,,,,,,,,
1116,2602,47,"202.9091,15.96,77.11429",,,,,,,,,14000020,14000020,,,,,
1117,61368,47,"112.5461,20.37,136.388",,,,,,,,,,,,,,,
1118,61369,47,"97.46873,20.32,141.2295",,,,,,,,,,,,,,,
1119,61370,47,"98.87926,20.32,134.0734",,,,,,,,,,,,,,,
1120,61372,47,"99.22643,20.32,131.9339",,,,,,,,,,,,,,,
1121,61313,47,"102.7447,15.96,79.33926",,,,,,,,,,,,,,,
1122,61314,47,"149.7381,15.96,109.432",,,,,,,,,,,,,,,
1123,61318,47,"102.5299,15.96,79.49403",,,,,,,,,,,,,,,
1124,61319,47,"103.3847,15.96,79.57163",,,,,,,,,,,,,,,
1125,61320,47,"131.5711,15.96,139.5787",,,,,,,,,,,,,,,
1126,61321,47,"132.4576,15.96,140.2235",,,,,,,,,,,,,,,
1127,61322,47,"132.577,15.96,141.0439",,,,,,,,,,,,,,,
1128,61323,47,"136.3154,15.96,76.36039",,,,,,,,,,,,,,,
1129,61324,47,"137.7065,15.96,75.42761",,,,,,,,,,,,,,,
1130,61325,47,"137.591,15.96,77.06581",,,,,,,,,,,,,,,
1131,61326,47,"137.05,15.96,77.67",,,,,,,,,,,,,,,
1132,61327,47,"102.5345,20.32,93.64401",,,,,,,,,,,,,,,
1133,61328,47,"103.8045,20.32,94.63657",,,,,,,,,,,,,,,
1134,61329,47,"103.6583,20.2,93.5923",,,,,,,,,,,,,,,
1135,61330,47,"103.05,20.37,95.18",,,,,,,,,,,,,,,
1136,61331,47,"191.3896,15.96,134.8246",,,,,,,,,,,,,,,
1137,61332,47,"192.0502,15.96,133.9583",,,,,,,,,,,,,,,
1138,61333,47,"191.3407,15.96,133.8667",,,,,,,,,,,,,,,
1139,61334,47,"191.69,15.96,135.45",,,,,,,,,,,,,,,
1140,61335,47,"165.8974,15.96,95.85025",,,,,,,,,,,,,,,
1141,61336,47,"165.85,15.96,93.64",,,,,,,,,,,,,,,
1142,61338,47,"183.6254,15.96,109.1718",,,,,,,,,,,,,,,
1143,61339,47,"183.4718,15.96,107.6977",,,,,,,,,,,,,,,
1144,61340,47,"183.8854,15.96,106.7628",,,,,,,,,,,,,,,
1145,61341,47,"184.3699,15.96,129.5832",,,,,,,,,,,,,,,
1146,61342,47,"183.95,15.96,131.49",,,,,,,,,,,,,,,
1147,61343,47,"192.5,15.96,162.54",,,,,,,,,,,,,,,
1148,61344,47,"193.9293,15.96,164.8295",,,,,,,,,,,,,,,
1149,61345,47,"193.8766,15.96,158.1995",,,,,,,,,,,,,,,
1150,61346,47,"189.5528,15.96,162.7197",,,,,,,,,,,,,,,
1151,61347,47,"191.5427,15.96,164.7533",,,,,,,,,,,,,,,
1152,61348,47,"191.1326,15.96,157.7401",,,,,,,,,19011910,,,,,,
1153,61349,47,"189.14,15.96,81.79",,,,,,,,,,,,,,,
1154,61350,47,"191.9108,15.96,81.95066",,,,,,,,,,,,,,,
1155,61351,47,"175.66,15.96,171.47",,,,,,,,,,,,,,,
1156,61352,47,"174.61,15.96,171.52",,,,,,,,,,,,,,,
1157,61353,47,"163.98,16.01,150.99",,,,,,,,,,,,,,,
1158,61354,47,"165.39,16.01,150.33",,,,,,,,,,,,,,,
1159,61310,47,"140.7689,15.96,94.63212",,,,,,,,,,,,,,,
1160,61337,47,"140.37,15.96,95.66",,,,,,,,,,,,,,,
1161,61311,47,"149.0771,15.96,108.8743",,,,,,,,,,,,,,,
1162,61312,47,"132.6399,15.96,140.3464",,,,,,,,,,,,,,,
1163,61315,47,"148.4009,15.96,109.213",,,,,,,,,,,,,,,
1164,61316,47,"149.11,15.96,109.01",,,,,,,,,,,,,,,
1165,61317,47,"102.0717,15.96,80.59517",,,,,,,,,,,,,,,
1166,61373,47,"98.18358,20.32,132.3413",,,,,,,,,,,,,,,
1167,61374,47,"99.19467,20.32,136.3723",,,,,,,,,,,,,,,
1168,61375,47,"98.48605,20.32,137.9276",,,,,,,,,,,,,,,
1169,61376,47,"109.93,20.32,137.45",,,,,,,,,,,,,,,
1170,61359,47,"168.0639,15.96,66.34524",,,,,,,,,,,,,,,
1171,61362,47,"191.0716,15.96,84.08007",,,,,,,,,,,,,,,
1172,61363,47,"97.69323,20.32,130.1517",,,,,,,,,,,,,,,
1173,61364,47,"128.12,20.32,193.38",,,,,,,,,,,,,,,
1174,61365,47,"175.83,15.96,87.3",,,,,,,,,,,,,,,
1175,61366,47,"183.02,15.96,142.0529",,,,,,,,,,,,,,,
1176,61367,47,"92.35216,15.96,80.11497",,,,,,,,,,,,,,,
1177,61360,47,"169.9711,15.96,69.62149",,,,,,,,,,,,,,,
1178,61361,47,"125.8299,15.96,77.08005",,,,,,,,,,,,,,,
1179,61377,47,"102.55,20.37,127.58",,,,,,,,,,,,,,,
1180,61383,47,"174.761,15.96,90.04791",,,,,,,,,,,,,,,
1181,61381,47,"96.5,20.37,140.06",,,,,,,,,,,,,,,
1182,61382,47,"144.5757,15.96,90.10961",,,,,,,,,,,,,,,
1183,61380,47,"111.13,20.37,137.86",,,,,,,,,,,,,,,
1184,61378,47,"176.64,16.01,90.33",,,,,,,,,,,,,,,
1185,61379,47,"143.3495,15.96,91.14449",,,,,,,,,,,,,,,
1186,61355,47,"120.8,16.01,71.34",,,,,,,,,,,,,,,
1187,61356,47,"118.5242,15.96,75.26196",,,,,,,,,,,,,,,
1188,61357,47,"157.93,15.96,94.06",,,,,,,,,,,,,,,
1189,61358,47,"156.78,15.96,94.12",,,,,,,,,,,,,,,
1190,61386,47,"152.3205,15.99,147.6556",,,,,,,,,,,,,,,
1191,61371,47,"132.5,20.32,196.74",,,,,,,,,,,,,,,
1192,61387,47,"134.4207,15.98,148.1675",,,,,,,,,,,,,,,
1193,61384,47,"131.3644,15.96,139.084",,,,,,,,,,,,,,,
1194,61385,47,"164.0055,15.96,104.5906",,,,,,,,,,,,,,,
1195,61388,47,"145.799,15.96,78.53238",,,,,,,,,,,,,,,
1196,61389,47,"151.74,15.96,80.33",,,,,,,,,,,,,,,
